#x_m,y_m,w_tr_right_m,w_tr_left_m
75.63550346,734.216424,7.114303723,7.114303723
74.95946845,739.4617212,7.111388489,7.111388489
74.28958509,744.7078577,7.102284707,7.102284707
73.62564172,749.9547846,7.08849487,7.08849487
72.96737923,755.2024418,7.071466334,7.071466334
72.31453854,760.4507696,7.052638695,7.052638695
71.66686054,765.699708,7.033442534,7.033442534
71.02408615,770.9491971,7.015298176,7.015298176
70.38595627,776.1991771,6.999614543,6.999614543
69.7522118,781.4495882,6.987788156,6.987788156
69.12259363,786.7003703,6.981202401,6.981202401
68.49664004,791.9514548,6.980899586,6.980899586
67.87330845,797.2027549,6.986561349,6.986561349
67.25148188,802.454185,6.997508223,6.997508223
66.63004358,807.7056594,7.01306722,7.01306722
66.00787678,812.9570927,7.032572163,7.032572163
65.38386474,818.2083992,7.055363767,7.055363767
64.75689072,823.4594932,7.080789705,7.080789705
64.12583794,828.7102892,7.108204691,7.108204691
63.48958967,833.9607016,7.136970602,7.136970602
62.84702915,839.2106448,7.16645666,7.16645666
62.19703962,844.4600331,7.196039686,7.196039686
61.53850445,849.708781,7.225104348,7.225104348
60.87054715,854.9568436,7.252847963,7.252847963
60.19389857,860.2041664,7.278590332,7.278590332
59.51065982,865.4505267,7.30254711,7.30254711
58.82301752,870.6956887,7.324983981,7.324983981
58.1331583,875.9394164,7.346145022,7.346145022
57.44326879,881.1814738,7.366253431,7.366253431
56.75553561,886.4216251,7.385512993,7.385512993
56.07217032,891.6596868,7.404157306,7.404157306
55.39601977,896.8968173,7.423608953,7.423608953
54.73052895,902.1355805,7.44664445,7.44664445
54.07118283,907.3772363,7.48376434,7.48376434
53.39841141,912.6204602,7.559812959,7.559812959
52.69097842,917.8636415,7.701167334,7.701167334
51.92764759,923.1051696,7.934282407,7.934282407
51.08696789,928.3433625,8.285663497,8.285663497
50.08562112,933.5503164,8.748791492,8.748791492
48.68425492,938.6265615,9.260933369,9.260933369
46.62544021,943.4596543,9.751993334,9.751993334
43.82240402,947.9399885,10.18461006,10.18461006
40.3996862,951.9742622,10.62504785,10.62504785
36.51192108,955.550421,11.08172554,11.08172554
32.27126097,958.7067309,11.49227351,11.49227351
27.6599002,961.2035247,12.03189152,12.03189152
